id,name,suggested_qty,suggested_note,suggested_by,suggested_at
474,Fettucine fresh pasta,,"green|Hai 3.5kg in casa - arrivi a Lunedi|You have 3.5kg - good through Monday|Tienes 3.5kg en casa - llegas al Lunes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
448,Filet Branzino,,"green|Stock ok - 39 pz in casa|Stock ok - 39 pieces on hand|Stock ok - 39 piezas en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
244,Filets,29,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 29 pezzi|Check before prepping - uncertain data - may need 29 pieces|Revisa antes de preparar - datos inciertos - puede necesitar 29 piezas",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
455,Flowers,,"yellow|Chiuso oggi - controlla stock domani|Closed today - check stock tomorrow|Cerrado hoy - revisar stock manana",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
294,Garlic oil,,"green|Hai 3.8kg in casa - arrivi a Venerdi|You have 3.8kg - good through Friday|Tienes 3.8kg en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
382,GF sponge cake,149,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 149 pezzi|Check before prepping - uncertain data - may need 149 pieces|Revisa antes de preparar - datos inciertos - puede necesitar 149 piezas",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
476,Gnocchi,,"green|Hai 22kg in casa - arrivi a Giovedi|You have 22kg - good through Thursday|Tienes 22kg en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
271,Gnocco Dough,2008,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 1 50#|Check before prepping - uncertain data - may need 1 50#|Revisa antes de preparar - datos inciertos - puede necesitar 1 50#",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
345,Goat cheese,,"green|Stock ok - 1g in casa|Stock ok - 1g on hand|Stock ok - 1g en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
438,Grated Pecorino,,"green|Hai 14kg in casa - arrivi a Martedi|You have 14kg - good through Tuesday|Tienes 14kg en casa - llegas al Martes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
468,Grilled Chicken,,"green|Stock ok - 19.8kg in casa|Stock ok - 19.8kg on hand|Stock ok - 19.8kg en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
